"","stockkey","stockkeylabel","stockkeydescription","speciesfaocode"
"193",169134,"lin-faro","Ling in the Faroes Grounds (Fishing Area Vb)","lin"
"194",169135,"lin-icel","Ling in the Iceland Grounds (Fishing Area Va)","lin"
"195",169136,"lin-oth","Ling (Molva molva) in Subareas 6-9, 12, and 14, and Divisions 3.a and 4.a (Northeast Atlantic and Arctic Ocean)","lin"
"196",169133,"lin.27.1-2","Ling (Molva molva) in subareas 1 and 2 (Northeast Arctic)","lin"
"197",169136,"lin.27.3a4a6-91214","Ling (Molva molva) in Subareas 6-9, 12, and 14, and Divisions 3.a and 4.a (Northeast Atlantic and Arctic Ocean)","lin"
"198",169135,"lin.27.5a","Ling (Molva molva) in Division 5.a (Iceland grounds)","lin"
"199",169134,"lin.27.5b","Ling (Molva molva) in Division 5.b (Faroes grounds)","lin"
"200",169137,"mac-nea","Mackerel in the Northeast Atlantic (combined Southern, Western and North Sea spawning components)","mac"
"201",169137,"mac.27.nea","Mackerel (Scomber scombrus) in subareas 1-8 and 14 and division 9.a (the Northeast Atlantic and adjacent waters)","mac"
"202",169138,"meg-4a6a","Megrim (Lepidorhombus spp.) in divisions 4.a and 6.a (northern North Sea, West of Scotland)","meg"
"203",169139,"meg-rock","Megrim (Lepidorhombus spp.) in Division 6.b (Rockall)","meg"
"204",169141,"meg.27.7b-k8abd","Megrim (Lepidorhombus whiffiagonis) in divisions 7.b–k, 8.a–b, and 8.d (west and southwest of Ireland, Bay of Biscay)","meg"
"205",169142,"meg.27.8c9a","Megrim (Lepidorhombus whiffiagonis) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)","meg"
"206",169140,"mgb-8c9a","Megrim (Boscii) in Divisions VIIIc and IXa","mgb"
"207",169141,"mgw-78","Megrim (Lepidorhombus whiffiagonis) in Divisions VIIb-k and VIIIa,b,d","mgw"
"208",169142,"mgw-8c9a","Megrim (Whiffiagonis) in Divisions VIIIc and IXa","mgw"
"209",169055,"mon.27.78ab","White anglerfish (Lophius piscatorius) in divisions 7.b–k, 8.a–b, and 8.d (southern Celtic Seas, Bay of Biscay)","mon"
"210",169056,"mon.27.8c9a","White anglerfish (Lophius piscatorius) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)","mon"
"211",169143,"mur-347d","Striped red mullet (Mullus surmuletus) in Subarea 4 and divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak and Kattegat)","mur"
"212",169144,"mur-west","Striped red mullet (Mullus surmuletus) in subareas 6 and 8, and in divisions 7.a–c, 7.e–k, and 9.a (North Sea, Bay of Biscay, southern Celtic Seas, and Atlantic Iberian waters)","mur"
"213",169143,"mur.27.3a47d","Striped red mullet (Mullus surmuletus) in Subarea 4 and divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak and Kattegat)","mur"
"214",169144,"mur.27.67a-ce-k89a","Striped red mullet (Mullus surmuletus) in subareas 6 and 8, and in divisions 7.a–c, 7.e–k, and 9.a (North Sea, Bay of Biscay, southern Celtic Seas, and Atlantic Iberian waters)","mur"
"215",169145,"nep-10","Nephrops in Division IVa (Noup, FU 10)","nep"
"216",169146,"nep-11","Nephrops in Division VIa (North Minch, FU 11)","nep"
"217",169147,"nep-12","Nephrops in Division VIa (South Minch, FU 12)","nep"
"218",169148,"nep-13","Nephrops in Division VIa (Firth of Clyde, FU 13)","nep"
"219",169149,"nep-14","Nephrops in Division VIIa (Irish Sea East, FU 14)","nep"
"220",169150,"nep-15","Nephrops in Division VIIa (Irish Sea West, FU 15)","nep"
"221",169151,"nep-16","Norway lobster (Nephrops norvegicus) in divisions 7.b–c and 7.j–k, Functional Unit 16 (west and southwest of Ireland, Porcupine Bank)","nep"
"222",169152,"nep-17","Nephrops in Division VIIb (Aran Grounds, FU 17)","nep"
"223",169153,"nep-19","Nephrops in Division VIIa,g,j (South East and West of IRL, FU 19)","nep"
"224",169154,"nep-2021","Norway lobster (Nephrops norvegicus) in divisions 7.g and 7.h, functional units 20 and 21 (Celtic Sea)","nep"
"225",169155,"nep-22","Norway lobster (Nephrops norvegicus) in divisions 7.g and 7.f, Functional Unit 22 (Celtic Sea, Bristol Channel)","nep"
"226",169156,"nep-2324","Norway lobster (Nephrops norvegicus) in divisions 8.a and 8.b, functional units 23–24 (northern and central Bay of Biscay)","nep"
"227",169157,"nep-25","Norway lobster (Nephrops norvegicus) in Division 8.c, Functional Unit 25 (southern Bay of Biscay and northern Galicia)","nep"
"228",169158,"nep-2627","Norway lobster (Nephrops norvegicus) in Division 9.a, functional units 26–27 (Atlantic Iberian waters East, western Galicia, and northern Portugal)","nep"
"229",169159,"nep-2829","Norway lobster (Nephrops norvegicus) in Division 9.a, functional units 28–29 (Atlantic Iberian waters East and southwestern and southern Portugal)","nep"
"230",169165,"nep-3-4","Norway lobster (Nephrops norvegicus) in Division 3.a, Functional units 3 and 4 (Skagerrak and Kattegat)","nep"
"231",169160,"nep-30","Norway lobster (Nephrops norvegicus) in Division 9.a, Functional Unit 30 (Atlantic Iberian waters East and Gulf of Cadiz)","nep"
"232",169161,"nep-31","Norway lobster (Nephrops norvegicus) in Division 8.c, Functional Unit 31 (southern Bay of Biscay and Cantabrian Sea)","nep"
"233",169162,"nep-32","Nephrops in Division IVa (Norwegian Deeps, FU 32)","nep"
"234",169163,"nep-33","Nephrops in Division IVb (Off Horn Reef, FU 33)","nep"
"235",169164,"nep-34","Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 34 (central North Sea, Devil’s Hole)","nep"
"236",169166,"nep-5","Nephrops in Division IVbc (Botney Gut - Silver Pit, FU 5)","nep"
"237",169167,"nep-6","Nephrops in Division IVb (Farn Deeps, FU 6)","nep"
"238",169168,"nep-7","Nephrops in Division IVa (Fladen Ground, FU 7)","nep"
"239",169169,"nep-8","Nephrops in Division IVa (Firth of Forth, FU 8)","nep"
"240",169170,"nep-9","Nephrops in Division IVa (Moray Firth, FU 9)","nep"
"241",169171,"nep-oth-4","Norway lobster (Nephrops norvegicus) in Subarea 4, outside the functional units (North Sea)","nep"
"242",169172,"nep-oth-6a","Norway lobster (Nephrops norvegicus) in Division 6.a, outside the functional units (West of Scotland)","nep"
"243",169173,"nep-oth-7","Norway lobster (Nephrops norvegicus) in Subarea 7, outside the functional units (southern Celtic Seas, southwest of Ireland)","nep"
"244",169171,"nep.27.4outFU","Norway lobster (Nephrops norvegicus) in Subarea 4, outside the functional units (North Sea)","nep"
"245",169172,"nep.27.6aoutFU","Norway lobster (Nephrops norvegicus) in Division 6.a, outside the functional units (West of Scotland)","nep"
"246",169173,"nep.27.7outFU","Norway lobster (Nephrops norvegicus) in Subarea 7, outside the functional units (southern Celtic Seas, southwest of Ireland)","nep"
"247",169145,"nep.fu.10","Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 10 (northern North Sea, Noup)","nep"
"248",169146,"nep.fu.11","Norway lobster (Nephrops norvegicus) in Division 6.a, Functional Unit 11 (West of Scotland, North Minch)","nep"
"249",169147,"nep.fu.12","Norway lobster (Nephrops norvegicus) in Division 6.a, Functional Unit 12 (West of Scotland, South Minch)","nep"
"250",169148,"nep.fu.13","Norway lobster (Nephrops norvegicus) in Division 6.a, Functional Unit 13 (West of Scotland, the Firth of Clyde and Sound of Jura)","nep"
"251",169149,"nep.fu.14","Norway lobster (Nephrops norvegicus) in Division 7.a, Functional Unit 14 (Irish Sea, East)","nep"
"252",169150,"nep.fu.15","Norway lobster (Nephrops norvegicus) in Division 7.a, Functional Unit 15 (Irish Sea, West)","nep"
"253",169151,"nep.fu.16","Norway lobster (Nephrops norvegicus) in divisions 7.b–c and 7.j–k, Functional Unit 16 (west and southwest of Ireland, Porcupine Bank)","nep"
"254",169152,"nep.fu.17","Norway lobster (Nephrops norvegicus) in Division 7.b, Functional Unit 17 (west of Ireland, Aran grounds)","nep"
"255",169153,"nep.fu.19","Norway lobster (Nephrops norvegicus) in divisions 7.a, 7.g, and 7.j, Functional Unit 19 (Irish Sea, Celtic Sea, eastern part of southwest of Ireland)","nep"
"256",169154,"nep.fu.2021","Norway lobster (Nephrops norvegicus) in divisions 7.g and 7.h, functional units 20 and 21 (Celtic Sea)","nep"
"257",169155,"nep.fu.22","Norway lobster (Nephrops norvegicus) in divisions 7.g and 7.f, Functional Unit 22 (Celtic Sea, Bristol Channel)","nep"
"258",169156,"nep.fu.2324","Norway lobster (Nephrops norvegicus) in divisions 8.a and 8.b, functional units 23–24 (northern and central Bay of Biscay)","nep"
"259",169157,"nep.fu.25","Norway lobster (Nephrops norvegicus) in Division 8.c, Functional Unit 25 (southern Bay of Biscay and northern Galicia)","nep"
"260",169158,"nep.fu.2627","Norway lobster (Nephrops norvegicus) in Division 9.a, functional units 26–27 (Atlantic Iberian waters East, western Galicia, and northern Portugal)","nep"
"261",169159,"nep.fu.2829","Norway lobster (Nephrops norvegicus) in Division 9.a, functional units 28–29 (Atlantic Iberian waters East and southwestern and southern Portugal)","nep"
"262",169165,"nep.fu.3-4","Norway lobster (Nephrops norvegicus) in Division 3.a, Functional units 3 and 4 (Skagerrak and Kattegat)","nep"
"263",169160,"nep.fu.30","Norway lobster (Nephrops norvegicus) in Division 9.a, Functional Unit 30 (Atlantic Iberian waters East and Gulf of Cadiz)","nep"
"264",169161,"nep.fu.31","Norway lobster (Nephrops norvegicus) in Division 8.c, Functional Unit 31 (southern Bay of Biscay and Cantabrian Sea)","nep"
"265",169162,"nep.fu.32","Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 32 (northern North Sea, Norway Deep)","nep"
"266",169163,"nep.fu.33","Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 33 (central North Sea, Horn’s Reef)","nep"
"267",169164,"nep.fu.34","Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 34 (central North Sea, Devil’s Hole)","nep"
"268",169166,"nep.fu.5","Norway lobster (Nephrops norvegicus) in divisions 4.b and 4.c, Functional Unit 5 (central and southern North Sea, Botney Gut–Silver Pit)","nep"
"269",169167,"nep.fu.6","Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 6 (central North Sea, Farn Deeps)","nep"
"270",169168,"nep.fu.7","Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 7 (northern North Sea, Fladen Ground)","nep"
"271",169169,"nep.fu.8","Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 8 (central North Sea, Firth of Forth)","nep"
"272",169170,"nep.fu.9","Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 9 (central North Sea, Moray Firth)","nep"
"273",136611,"nop-34","Norway Pout in Subarea IV (North Sea) and IIIa (Skagerrak - Kattegat)","nop"
"274",137810,"nop-34-june","Norway Pout in Subarea IV (North Sea) and IIIa (Skagerrak - Kattegat) - Summer assessment","nop"
"275",169174,"nop-34-oct","Norway pout (Trisopterus esmarkii) in Subarea 4 and Division 3.a, October advice (North Sea, Skagerrak and Kattegat)","nop"
"276",136612,"nop-scow","Norway pout in Division VIa (West of Scotland)","nop"
"277",169174,"nop.27.3a4","Norway pout (Trisopterus esmarkii) in Subarea 4 and Division 3.a, October advice (North Sea, Skagerrak and Kattegat)","nop"
"278",169176,"ory-comb","Orange Roughy (Hoplostethus atlanticus) in the Northeast Atlantic","ory"
"279",169176,"ory.27.nea","Orange roughy (Hoplostethus atlanticus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","ory"
"280",169177,"pan-barn","Northern shrimp (Pandalus borealis) in Subareas I and II (Barents Sea)","pan"
"281",169178,"pan-flad","Northern shrimp (Pandalus borealis) in Division IVa (Fladen Ground)","pan"
"282",169179,"pan-sknd","Northern shrimp (Pandalus borealis) in Divisions IIIa West and IVa East (Skagerrak and Norwegian Deeps)","pan"
"283",194229,"pil.27.7","Sardine (Sardina pilchardus) in Subarea 7 (Southern Celtic Seas  English Channel)","pil"
"284",169254,"pil.27.78abd","Sardine (Sardina pilchardus) in divisions 8.a–b and 8.d and in Subarea 7 (Bay of Biscay, southern Celtic Seas, and the English Channel)","pil"
"285",194230,"pil.27.8abd","Sardine (Sardina pilchardus) in Divisions 8.a-b and 8.d (Bay of Biscay)","pil"
"286",169255,"pil.27.8c9a","Sardine (Sardina pilchardus) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)","pil"
"287",169180,"ple-2123","Plaice in Subdivisions 21. 22. and 23 (Kattegat. Belts. and Sound)","ple"
"288",169181,"ple-2432","Plaice (Pleuronectes platessa) in subdivisions 24–32 (Baltic Sea, excluding the Sound and Belt Seas)","ple"
"289",169182,"ple-7b-c","Plaice in Division VIIb,c (West of Ireland)","ple"
"290",169183,"ple-7h-k","Plaice in Divisions VIIh-k (Southwest of Ireland)","ple"
"291",169184,"ple-89a","Plaice (Pleuronectes platessa) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","ple"
"292",169185,"ple-celt","Plaice in Divisions VIIf,g (Celtic Sea)","ple"
"293",169186,"ple-eche","Plaice in Division VIId (Eastern Channel)","ple"
"294",169187,"ple-echw","Plaice in Division VIIe (Western Channel)","ple"
"295",169188,"ple-iris","Plaice in Division VIIa (Irish Sea)","ple"
"296",136628,"ple-kask","Plaice in Division IIIa (Skagerrak - Kattegat)","ple"
"297",169189,"ple-nsea","Plaice Sub-area IV (North Sea)","ple"
"298",136630,"ple-skag","Plaice in the Skagerrak (part of Fishing Area IIIa)","ple"
"299",169180,"ple.27.21-23","Plaice (Pleuronectes platessa) in subdivisions 21–23 (Kattegat, Belt Seas, and the Sound)","ple"
"300",169181,"ple.27.24-32","Plaice (Pleuronectes platessa) in subdivisions 24–32 (Baltic Sea, excluding the Sound and Belt Seas)","ple"
"301",169189,"ple.27.420","Plaice (Pleuronectes platessa) in Subarea 4 (North Sea) and Subdivision 20 (Skagerrak)","ple"
"302",169188,"ple.27.7a","Plaice (Pleuronectes platessa) in Division 7.a (Irish Sea)","ple"
"303",169182,"ple.27.7bc","Plaice (Pleuronectes platessa) in divisions 7.b–c (West of Ireland)","ple"
"304",169186,"ple.27.7d","Plaice (Pleuronectes platessa) in Division 7.d (eastern English Channel)","ple"
"305",169187,"ple.27.7e","Plaice (Pleuronectes platessa) in Division 7.e (western English Channel)","ple"
"306",169185,"ple.27.7fg","Plaice (Pleuronectes platessa) in divisions 7.f and 7.g (Bristol Channel, Celtic Sea)","ple"
"307",169183,"ple.27.7h–k","Plaice (Pleuronectes platessa) in divisions 7h–k (Celtic Sea South, southwest of Ireland)","ple"
"308",169184,"ple.27.89a","Plaice (Pleuronectes platessa) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","ple"
"309",169238,"pok.27.1-2","Saithe (Pollachius virens) in subareas 1 and 2 (Northeast Arctic)","pok"
"310",169237,"pok.27.3a46","Saithe (Pollachius virens) in Subareas 4, 6 and Division 3.a (North Sea, Rockall and West of Scotland, Skagerrak and Kattegat)","pok"
"311",169240,"pok.27.5a","Saithe (Pollachius virens) in Division 5.a (Iceland grounds)","pok"
"312",169239,"pok.27.5b","Saithe (Pollachius virens) in Division 5.b (Faroes grounds)","pok"
"313",169190,"pol-89a","Pollack (Pollachius pollachius) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","pol"
"314",169191,"pol-celt","Pollack (Pollachius pollachius) in subareas 6–7 (Celtic Seas and the English Channel)","pol"
"315",169192,"pol-nsea","Pollack (Pollachius pollachius) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)","pol"
"316",169192,"pol.27.3a4","Pollack (Pollachius pollachius) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)","pol"
"317",169191,"pol.27.67","Pollack (Pollachius pollachius) in subareas 6–7 (Celtic Seas and the English Channel)","pol"
"318",169190,"pol.27.89a","Pollack (Pollachius pollachius) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","pol"
"319",169193,"por-nea","Porbeagle (Lamna nasus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","por"
"320",169193,"por.27.nea","Porbeagle (Lamna nasus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","por"
"321",169177,"pra.27.1-2","Northern shrimp (Pandalus borealis) in subareas 1 and 2 (Northeast Arctic)","pra"
"322",169178,"pra.27.4a","Northern shrimp (Pandalus borealis) in Division 4.a (northern North Sea, Fladen Ground)","pra"
"323",169179,"pra.27.4a20","Northern shrimp (Pandalus borealis) in Division 4.a East and Subdivision 20 (northern North Sea in the Norwegian Deep and Skagerrak)","pra"
"324",169194,"raj-347d","Rays and skates (Rajidae) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)","raj"
"325",169195,"raj-89a","Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","raj"
"326",169196,"raj-celt","Rays and skates (Rajidae) in Subarea 6 and divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)","raj"
"327",169197,"raj-mar","Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in subareas 10 and 12 (Azores grounds and north of Azores)","raj"
"328",169197,"raj.27.1012","Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in subareas 10 and 12 (Azores grounds and north of Azores)","raj"
"329",169194,"raj.27.3a47d","Rays and skates (Rajidae) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)","raj"
"330",169196,"raj.27.67a-ce-h","Rays and skates (Rajidae) in Subarea 6 and divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)","raj"
"331",169195,"raj.27.89a","Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","raj"
"332",169264,"reb.2127.dp","Beaked redfish (Sebastes mentella) in ICES subareas 5, 12, and 14 (Iceland and Faroe grounds, North of Azores, East of Greenland) and NAFO subareas 1 and 2 (deep pelagic stock > 500 m) ","reb"
"333",169266,"reb.2127.sp","Beaked redfish (Sebastes mentella) in ICES subareas 5, 12, and 14 (Iceland and Faroe grounds, North of Azores, East of Greenland) and NAFO subareas 1 and 2 (shallow pelagic stock < 500 m)","reb"
"334",169262,"reb.27.1-2","Beaked redfish  (Sebastes mentella) in subareas 1 and 2 (Northeast Arctic)","reb"
"335",169265,"reb.27.14b","Beaked redfish  (Sebastes mentella) in Division 14.b, demersal (Southeast Greenland)","reb"
"336",169263,"reb.27.5a14","Beaked redfish  (Sebastes mentella) in Subarea 14 and Division 5.a, Icelandic slope stock (East of Greenland, Iceland grounds)","reb"
"337",169267,"reg.27.561214","Golden redfish (Sebastes norvegicus) in subareas 5, 6, 12, and 14 (Iceland and Faroes grounds, West of Scotland, North of Azores, East of Greenland)","reg"
"338",169198,"rhg-nea","Roughhead grenadier (Macrourus berglax) in subareas 5-8, 10, 12 and 14 (Northeast Atlantic and Arctic Ocean)","rhg"
"339",169198,"rhg.27.nea","Roughhead grenadier (Macrourus berglax) in subareas 5-8, 10, 12 and 14 (Northeast Atlantic and Arctic Ocean)","rhg"
"340",169199,"rja-nea","White skate (Rostroraja alba) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","rja"
"341",169199,"rja.27.nea","White skate (Rostroraja alba) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","rja"
"342",169200,"rjb-34","Common skate (Dipturus batis-complex) in  Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)","rjb"
"343",136639,"rjb-347d","Common skate (Dipturus batis) complex (flapper skate (Dipturus cf. flossada) and blue skate (Dipturus cf. intermedia)) in Subarea IV  and Divisions IIIa and VIId","rjb"
"344",169201,"rjb-89a","Common skate (Dipturus batis-complex) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","rjb"
"345",169202,"rjb-celt","Common skate (Dipturus batis-complex flapper skate (Dipturus cf. Flossada) and blue skate (Dipturus cf. intermedia) in Subarea 6 and divisions 7.a-c and 7.e-k (Celtic Seas and western English Channel)","rjb"
"346",169200,"rjb.27.3a4","Common skate (Dipturus batis-complex) in  Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)","rjb"
"347",169202,"rjb.27.67a-ce-k","Common skate (Dipturus batis-complex flapper skate (Dipturus cf. Flossada) and blue skate (Dipturus cf. intermedia) in Subarea 6 and divisions 7.a-c and 7.e-k (Celtic Seas and western English Channel)","rjb"
"348",169201,"rjb.27.89a","Common skate (Dipturus batis-complex) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","rjb"
"349",169203,"rjc-347d","Thornback ray (Raja clavata) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)","rjc"
"350",136642,"rjc-347de","Thornback ray (Raja clavata) in Subarea IV  and Divisions IIIa and VIId e (North Sea  Skagerrak  Kattegat  and English Channel)","rjc"
"351",169204,"rjc-7afg","Thornback ray (Raja clavata) in divisions 7.a and 7.f–g (Irish Sea, Bristol Channel, Celtic Sea North)","rjc"
"352",169205,"rjc-bisc","Thornback ray (Raja clavata) in Subarea 8 (Bay of Biscay)","rjc"
"353",169206,"rjc-echw","Thornback ray (Raja clavata) in Division 7.e (western English Channel)","rjc"
"354",169207,"rjc-pore","Thornback ray (Raja clavata) in Division 9.a (Atlantic Iberian waters)","rjc"
"355",169208,"rjc-VI","Thornback ray (Raja clavata) in Subarea 6 (West of Scotland)","rjc"
"356",169203,"rjc.27.3a47d","Thornback ray (Raja clavata) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)","rjc"
"357",169208,"rjc.27.6","Thornback ray (Raja clavata) in Subarea 6 (West of Scotland)","rjc"
"358",169204,"rjc.27.7afg","Thornback ray (Raja clavata) in divisions 7.a and 7.f–g (Irish Sea, Bristol Channel, Celtic Sea North)","rjc"
"359",169206,"rjc.27.7e","Thornback ray (Raja clavata) in Division 7.e (western English Channel)","rjc"
"360",169205,"rjc.27.8","Thornback ray (Raja clavata) in Subarea 8 (Bay of Biscay)","rjc"
"361",169207,"rjc.27.9a","Thornback ray (Raja clavata) in Division 9.a (Atlantic Iberian waters)","rjc"
"362",169209,"rje-7fg","Small-eyed ray (Raja microocellata) in divisions 7.f and 7.g (Bristol Channel, Celtic Sea North)","rje"
"363",169210,"rje-ech","Small-eyed ray (Raja microocellata) in divisions 7.d and 7.e (English Channel)","rje"
"364",169210,"rje.27.7de","Small-eyed ray (Raja microocellata) in divisions 7.d and 7.e (English Channel)","rje"
"365",169209,"rje.27.7fg","Small-eyed ray (Raja microocellata) in divisions 7.f and 7.g (Bristol Channel, Celtic Sea North)","rje"
