"","stockkey","stockkeylabel","stockkeydescription","speciesfaocode"
"366",169211,"rjf-celt","Shagreen ray (Leucoraja fullonica) in subareas 6–7 (West of Scotland, southern Celtic Seas, English Channel)","rjf"
"367",169211,"rjf.27.67","Shagreen ray (Leucoraja fullonica) in subareas 6–7 (West of Scotland, southern Celtic Seas, English Channel)","rjf"
"368",169212,"rjh-4aVI","Blonde ray (Raja brachyura) in Subarea 6 and Division 4.a (North Sea and West of Scotland)","rjh"
"369",169213,"rjh-4c7d","Blonde ray (Raja brachyura) in divisions 4.c and 7.d (southern North Sea and eastern English Channel)","rjh"
"370",136651,"rjh-4c7de","Blonde ray (Raja brachyura) in Divisions IVc and VIId  e (Southern North Sea and English Channel)","rjh"
"371",169214,"rjh-7afg","Blonde ray (Raja brachyura) in divisions 7.a and 7.f–g (Irish Sea, Bristol Channel, Celtic Sea North)","rjh"
"372",169215,"rjh-7e","Blonde ray (Raja brachyura) in Division 7.e (western English Channel)","rjh"
"373",169216,"rjh-pore","Blonde ray (Raja brachyura) in Division 9.a (Atlantic Iberian waters)","rjh"
"374",136654,"rjh-VI","Blonde ray (Raja brachyura) in Subarea VI (West of Scotland)","rjh"
"375",169212,"rjh.27.4a6","Blonde ray (Raja brachyura) in Subarea 6 and Division 4.a (North Sea and West of Scotland)","rjh"
"376",169213,"rjh.27.4c7d","Blonde ray (Raja brachyura) in divisions 4.c and 7.d (southern North Sea and eastern English Channel)","rjh"
"377",169214,"rjh.27.7afg","Blonde ray (Raja brachyura) in divisions 7.a and 7.f–g (Irish Sea, Bristol Channel, Celtic Sea North)","rjh"
"378",169215,"rjh.27.7e","Blonde ray (Raja brachyura) in Division 7.e (western English Channel)","rjh"
"379",169216,"rjh.27.9a","Blonde ray (Raja brachyura) in Division 9.a (Atlantic Iberian waters)","rjh"
"380",169217,"rji-celt","Sandy ray (Leucoraja circularis) in subareas 6–7 (West of Scotland, southern Celtic Seas, English Channel)","rji"
"381",169217,"rji.27.67","Sandy ray (Leucoraja circularis) in subareas 6–7 (West of Scotland, southern Celtic Seas, English Channel)","rji"
"382",169218,"rjm-347d","Spotted ray (Raja montagui) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)","rjm"
"383",169219,"rjm-67bj","Spotted ray (Raja montagui) in Subarea 6 and divisions 7.b and 7.j (West of Scotland, west and southwest of Ireland)","rjm"
"384",169220,"rjm-7aeh","Spotted ray (Raja montagui) in divisions 7.a and 7.e–h (southern Celtic Seas and western English Channel)","rjm"
"385",136657,"rjm-7afg","Spotted ray (Raja montagui) in Divisions VIIa  f  g (Irish and Celtic Sea)","rjm"
"386",169221,"rjm-bisc","Spotted ray (Raja montagui) in  Subarea 8 (Bay of Biscay)","rjm"
"387",169222,"rjm-pore","Spotted ray (Raja montagui) in Division 9.a (Atlantic Iberian waters)","rjm"
"388",136660,"rjm-VI","Spotted ray (Raja montagui) in Subarea VI (West of Scotland)","rjm"
"389",169218,"rjm.27.3a47d","Spotted ray (Raja montagui) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)","rjm"
"390",169219,"rjm.27.67bj","Spotted ray (Raja montagui) in Subarea 6 and divisions 7.b and 7.j (West of Scotland, west and southwest of Ireland)","rjm"
"391",169220,"rjm.27.7ae-h","Spotted ray (Raja montagui) in divisions 7.a and 7.e–h (southern Celtic Seas and western English Channel)","rjm"
"392",169221,"rjm.27.8","Spotted ray (Raja montagui) in  Subarea 8 (Bay of Biscay)","rjm"
"393",169222,"rjm.27.9a","Spotted ray (Raja montagui) in Division 9.a (Atlantic Iberian waters)","rjm"
"394",169223,"rjn-34","Cuckoo ray (Leucoraja naevus) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)","rjn"
"395",136661,"rjn-347d","Cuckoo ray (Leucoraja naevus) in Subarea IV  and Divisions IIIa and VIId (North Sea  Skagerrak  Kattegat  and Eastern English Channel)","rjn"
"396",169224,"rjn-678abd","Cuckoo ray (Leucoraja naevus) in subareas 6–7 (West of Scotland, southern Celtic Seas, and western English Channel)","rjn"
"397",169225,"rjn-8c","Cuckoo ray (Leucoraja naevus) in Division 8.c (Cantabrian Sea)","rjn"
"398",136662,"rjn-bisc","Cuckoo ray (Leucoraja naevus) in Subarea VIII (Bay of Biscay and Cantabrian Sea)","rjn"
"399",136663,"rjn-celt","Cuckoo ray (Leucoraja naevus) in Subareas VI and VII (Celtic Sea and West of Scotland)","rjn"
"400",169226,"rjn-pore","Cuckoo ray (Leucoraja naevus) in Division 9.a (Atlantic Iberian waters)","rjn"
"401",169223,"rjn.27.3a4","Cuckoo ray (Leucoraja naevus) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)","rjn"
"402",169224,"rjn.27.67","Cuckoo ray (Leucoraja naevus) in subareas 6–7 (West of Scotland, southern Celtic Seas, and western English Channel)","rjn"
"403",169225,"rjn.27.8c","Cuckoo ray (Leucoraja naevus) in Division 8.c (Cantabrian Sea)","rjn"
"404",169226,"rjn.27.9a","Cuckoo ray (Leucoraja naevus) in Division 9.a (Atlantic Iberian waters)","rjn"
"405",169227,"rjr-234","Starry ray (Amblyraja radiata) in Subareas 2 and 4, and Division 3.a  (Norwegian Sea, North Sea, Skagerrak and Kattegat)","rjr"
"406",136665,"rjr-347d","Starry ray (Amblyraja radiata) in Subarea IV  and Divisions IIIa and VIId (North Sea  Skagerrak  Kattegat  and Eastern English Channel)","rjr"
"407",169227,"rjr.27.23a4","Starry ray (Amblyraja radiata) in Subareas 2 and 4, and Division 3.a  (Norwegian Sea, North Sea, Skagerrak and Kattegat)","rjr"
"408",169228,"rju-7bj","Undulate ray (Raja undulata) in divisions 7.b and 7.j (west and southwest of Ireland)","rju"
"409",136666,"rju-7j","Undulate ray (Raja undulata) in Division VIIj (Great Sole Bank)","rju"
"410",169229,"rju-8ab","Undulate ray (Raja undulata) in divisions 8.a–b (northern and central Bay of Biscay)","rju"
"411",169230,"rju-8c","Undulate ray (Raja undulata) in Division 8.c (Cantabrian Sea)","rju"
"412",169231,"rju-9a","Undulate ray (Raja undulata) in Division 9.a (Atlantic Iberian waters)","rju"
"413",169232,"rju-ech","Undulate ray (Raja undulata) in divisions 7.d and 7.e (English Channel)","rju"
"414",169228,"rju.27.7bj","Undulate ray (Raja undulata) in divisions 7.b and 7.j (west and southwest of Ireland)","rju"
"415",169232,"rju.27.7de","Undulate ray (Raja undulata) in divisions 7.d and 7.e (English Channel)","rju"
"416",169229,"rju.27.8ab","Undulate ray (Raja undulata) in divisions 8.a–b (northern and central Bay of Biscay)","rju"
"417",169230,"rju.27.8c","Undulate ray (Raja undulata) in Division 8.c (Cantabrian Sea)","rju"
"418",169231,"rju.27.9a","Undulate ray (Raja undulata) in Division 9.a (Atlantic Iberian waters)","rju"
"419",169233,"rng-1012","Roundnose grenadier (Coryphaenoides rupestris) in Divisions 10.b and 12.c, and Subdivisions 12.a.1, 14.b.1, and 5.a.1 (Oceanic Northeast Atlantic and northern Reykjanes Ridge)","rng"
"420",169234,"rng-5b67","Roundnose grenadier (Coryphaenoides rupenstris) in Subareas VI and VII. and Divisons Vb and XIIb","rng"
"421",136671,"rng-comb","Roundnose grenadier (Coryphaenoides rupestris) in the Northeast Atlantic","rng"
"422",169235,"rng-kask","Roundnose grenadier (Coryphaenoides rupestris) in Division 3.a (Skagerrak and Kattegat)","rng"
"423",169236,"rng-oth","Roundnose grenadier (Coryphaenoides rupestris) in subareas 1, 2, 4, 8, and 9, Division 14.a, and in subdivisions 14.b.2 and 5.a.2 (Northeast Atlantic and Arctic Ocean)","rng"
"424",169236,"rng.27.1245a8914ab","Roundnose grenadier (Coryphaenoides rupestris) in subareas 1, 2, 4, 8, and 9, Division 14.a, and in subdivisions 14.b.2 and 5.a.2 (Northeast Atlantic and Arctic Ocean)","rng"
"425",169235,"rng.27.3a","Roundnose grenadier (Coryphaenoides rupestris) in Division 3.a (Skagerrak and Kattegat)","rng"
"426",169233,"rng.27.5a10b12ac14b","Roundnose grenadier (Coryphaenoides rupestris) in Divisions 10.b and 12.c, and Subdivisions 12.a.1, 14.b.1, and 5.a.1 (Oceanic Northeast Atlantic and northern Reykjanes Ridge)","rng"
"427",169234,"rng.27.5b6712b","Roundnose grenadier (Coryphaenoides rupestris) in subareas 6-7, and in Divisions 5.b and 12.b (Celtic Seas and the English Channel, Faroes grounds, and western Hatton Bank)","rng"
"428",169237,"sai-3a46","Saithe in Subarea IV (North Sea) Division IIIa West (Skagerrak) and Subarea VI (West of Scotland and Rockall)","sai"
"429",169238,"sai-arct","Saithe in Subareas I and II (Northeast Arctic)","sai"
"430",169239,"sai-faro","Saithe in Division Vb (Faroe Saithe)","sai"
"431",169240,"sai-icel","Saithe in Division Va (Icelandic saithe)","sai"
"432",169241,"sal-2431","Salmon in Subdivisions 22 - 31 (Main Basin and Gulf of Bothnia)","sal"
"433",169242,"sal-32","Salmon in Subdivision 32 (Gulf of Finland)","sal"
"434",136680,"sal-na","Atlantic Salmon from North America","sal"
"435",136681,"sal-nea","Salmon in the North-east Atlantic","sal"
"436",999999,"sal-wgc","Atlantic Salmon at West Greenland","sal"
"437",169241,"sal.27.22-31","Salmon (Salmo salar) in subdivisions 22–31 (Baltic Sea, excluding the Gulf of Finland)","sal"
"438",169242,"sal.27.32","Salmon (Salmo salar) in Subdivision 32 (Gulf of Finland)","sal"
"439",169246,"san-ns1","Sandeel in the Dogger Bank area (SA 1)","san"
"440",169247,"san-ns2","Sandeel in the South Eastern North Sea (SA 2)","san"
"441",169248,"san-ns3","Sandeel in the Central Eastern North Sea (SA 3)","san"
"442",169249,"san-ns4","Sandeel (Ammodytes spp.) in divisions 4.a and 4.b, Sandeel Area 4 (northern and central North Sea)","san"
"443",169250,"san-ns5","Sandeel (Ammodytes spp.) in Division 4.a, Sandeel Area 5r (northern North Sea, Viking and Bergen banks)","san"
"444",169251,"san-ns6","Sandeel (Ammodytes spp.) in subdivisions 20-22, Sandeel Area 6 (Kattegat)","san"
"445",169252,"san-ns7","Sandeel (Ammodytes spp.) in Division 4.a, Sandeel Area 7 (northern North Sea, Shetland)","san"
"446",136690,"san-scow","Sandeel in Division VIa","san"
"447",169246,"san.sa.1r","Sandeel (Ammodytes spp.) in Divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)","san"
"448",169247,"san.sa.2r","Sandeel (Ammodytes spp.) in Divisions 4.b and 4.c, and Subdivision 20, Sandeel Area 2r (Skagerrak, central and southern North Sea)","san"
"449",169248,"san.sa.3r","Sandeel (Ammodytes spp.) in Divisions 4.a and 4.b, and Subdivision 20, Sandeel Area 3r (Skagerrak, northern and central North Sea)","san"
"450",169249,"san.sa.4","Sandeel (Ammodytes spp.) in divisions 4.a and 4.b, Sandeel Area 4 (northern and central North Sea)","san"
"451",169250,"san.sa.5r","Sandeel (Ammodytes spp.) in Division 4.a, Sandeel Area 5r (northern North Sea, Viking and Bergen banks)","san"
"452",169251,"san.sa.6","Sandeel (Ammodytes spp.) in subdivisions 20-22, Sandeel Area 6 (Kattegat)","san"
"453",169252,"san.sa.7r","Sandeel (Ammodytes spp.) in Division 4.a, Sandeel Area 7 (northern North Sea, Shetland)","san"
"454",169254,"sar-78","Sardine (Sardina pilchardus) in divisions 8.a–b and 8.d and in Subarea 7 (Bay of Biscay, southern Celtic Seas, and the English Channel)","sar"
"455",169255,"sar-soth","Sardine in Divisions VIIIc and IXa","sar"
"456",169256,"sbr-678","Blackspot seabream (Pagellus bogaraveo) in subareas 6–8 (Celtic Seas, the English Channel, and Bay of Biscay)","sbr"
"457",169257,"sbr-ix","Blackspot seabream (Pagellus bogaraveo) in Subarea 9 (Atlantic Iberian waters)","sbr"
"458",169258,"sbr-x","Blackspot seabream (Pagellus bogaraveo) in Subarea 10 (Azores grounds)","sbr"
"459",169258,"sbr.27.10","Blackspot seabream (Pagellus bogaraveo) in Subarea 10 (Azores grounds)","sbr"
"460",169256,"sbr.27.6-8","Blackspot seabream (Pagellus bogaraveo) in subareas 6–8 (Celtic Seas, the English Channel, and Bay of Biscay)","sbr"
"461",169257,"sbr.27.9","Blackspot seabream (Pagellus bogaraveo) in Subarea 9 (Atlantic Iberian waters)","sbr"
"462",169259,"sck-nea","Kitefin shark (Dalatias licha) in the Northeast Atlantic and adjacent waters","sck"
"463",169259,"sck.27.nea","Kitefin shark (Dalatias licha) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","sck"
"464",169290,"sdv.27.nea","Smooth-hound (Mustelus spp.) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","sdv"
"465",169260,"sho-89a","Black-mouth dogfish (Galeus melastomus) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","sho"
"466",169261,"sho-celt","Black-mouth dogfish (Galeus melastomus) in subareas 6 and 7 (West of Scotland, southern Celtic Seas, and English Channel)","sho"
"467",169261,"sho.27.67","Black-mouth dogfish (Galeus melastomus) in subareas 6 and 7 (West of Scotland, southern Celtic Seas, and English Channel)","sho"
"468",169260,"sho.27.89a","Black-mouth dogfish (Galeus melastomus) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","sho"
"469",136698,"sma-nea","Shortfin mako (Isurus oxyrinchus) in the Northeast Atlantic","sma"
"470",136698,"sma-nea","Shortfin mako in the North Atlantic (North of 5°N)","sma"
"471",169262,"smn-arct","Beaked Redfish (Sebastes mentella) in Subareas I and II","smn"
"472",169263,"smn-con","Beaked Redfish (Sebastes mentella) on the continental shelf in Subareas V, VI and XIV (Demersal)","smn"
"473",169264,"smn-dp","Beaked redfish (Sebastes mentella) in ICES subareas 5, 12, and 14 (Iceland and Faroe grounds, North of Azores, East of Greenland) and NAFO subareas 1 and 2 (deep pelagic stock > 500 m) ","smn"
"474",169265,"smn-grl","Beaked redfish  (Sebastes mentella) in Division 14.b, demersal (Southeast Greenland)","smn"
"475",169266,"smn-sp","Beaked redfish (Sebastes mentella) in ICES subareas 5, 12, and 14 (Iceland and Faroe grounds, North of Azores, East of Greenland) and NAFO subareas 1 and 2 (shallow pelagic stock < 500 m)","smn"
"476",169267,"smr-5614","Golden Redfish (Sebastes marinus) in Subareas V, VI, XII and XIV","smr"
"477",136708,"smr-arct","Golden Redfish (Sebastes marinus) in Subareas I and II","smr"
"478",169269,"sol-7b-c","Sole in Division VIIb, c (West of Ireland)","sol"
"479",169270,"sol-7h-k","Sole in Divisions VIIh-k (Southwest of Ireland)","sol"
"480",169271,"sol-8c9a","Sole (Solea solea) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)","sol"
"481",169272,"sol-bisc","Sole in Divisions VIIIa,b (Bay of Biscay)","sol"
"482",169273,"sol-celt","Sole in Divisions VIIf, g (Celtic Sea)","sol"
"483",169274,"sol-eche","Sole in Division VIId (Eastern Channel)","sol"
"484",169275,"sol-echw","Sole in Division VIIe (Western Channel)","sol"
"485",169276,"sol-iris","Sole in Division VIIa (Irish Sea)","sol"
"486",169277,"sol-kask","Sole in Division IIIa (Skagerrak-Kattegat)","sol"
"487",169278,"sol-nsea","Sole in Sub-area IV (North Sea)","sol"
"488",169277,"sol.27.20-24","Sole (Solea solea) in subdivisions 20–24 (Skagerrak and Kattegat, western Baltic Sea)","sol"
"489",169278,"sol.27.4","Sole (Solea solea) in Subarea 4 (North Sea)","sol"
"490",169276,"sol.27.7a","Sole (Solea solea) in Division 7.a (Irish Sea)","sol"
"491",169269,"sol.27.7bc","Sole (Solea solea) in divisions 7.b and 7.c (West of Ireland)","sol"
"492",169274,"sol.27.7d","Sole (Solea solea) in Division 7.d (eastern English Channel)","sol"
"493",169275,"sol.27.7e","Sole (Solea solea) in Division 7.e (western English Channel)","sol"
"494",169273,"sol.27.7fg","Sole (Solea solea) in divisions 7.f and 7.g (Bristol Channel, Celtic Sea)","sol"
"495",169270,"sol.27.7h–k","Sole (Solea solea) in divisions 7.h–k (Celtic Sea South, southwest of Ireland)","sol"
"496",169272,"sol.27.8ab","Sole (Solea solea) in divisions 8.a–b (northern and central Bay of Biscay)","sol"
"497",169271,"sol.27.8c9a","Sole (Solea solea) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)","sol"
"498",169279,"spr-2232","Sprat in Subdivisions 22 - 32 (Baltic Sea)","spr"
"499",169280,"spr-celt","Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a–c and 7.f–k (West of Scotland, southern Celtic Seas)","spr"
"500",169281,"spr-ech","Sprat in Divisions VIId,e","spr"
"501",169282,"spr-kask","Sprat in Division IIIa","spr"
"502",169283,"spr-nsea","Sprat in Subarea IV (North Sea)","spr"
"503",169279,"spr.27.22–32","Sprat (Sprattus sprattus) in subdivisions 22–32 (Baltic Sea)","spr"
"504",169282,"spr.27.3a","Sprat (Sprattus sprattus) in Division 3.a (Skagerrak and Kattegat)","spr"
"505",169283,"spr.27.4","Sprat (Sprattus sprattus) in Subarea 4 (North Sea)","spr"
"506",169280,"spr.27.67a–cf–k","Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a–c and 7.f–k (West of Scotland, southern Celtic Seas)","spr"
"507",169281,"spr.27.7de","Sprat (Sprattus sprattus) in divisions 7.d and 7.e (English Channel)","spr"
"508",169284,"syc-347d","Lesser-spotted dogfish (Scyliorhinus canicula) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak and Kattegat, eastern English Channel)","syc"
"509",169285,"syc-8c9a","Lesser-spotted dogfish (Scyliorhinus canicula) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)","syc"
"510",169286,"syc-bisc","Lesser-spotted dogfish (Scyliorhinus canicula) in divisions 8.a–b and 8.d (Bay of Biscay)","syc"
"511",169287,"syc-celt","Lesser-spotted dogfish (Scyliorhinus canicula) in Subarea 6 and divisions 7.a–c and 7.e–j  (West of Scotland, Irish Sea, southern Celtic Seas)","syc"
"512",169284,"syc.27.3a47d","Lesser-spotted dogfish (Scyliorhinus canicula) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak and Kattegat, eastern English Channel)","syc"
"513",169287,"syc.27.67a-ce-j","Lesser-spotted dogfish (Scyliorhinus canicula) in Subarea 6 and divisions 7.a–c and 7.e–j  (West of Scotland, Irish Sea, southern Celtic Seas)","syc"
"514",169286,"syc.27.8abd","Lesser-spotted dogfish (Scyliorhinus canicula) in divisions 8.a–b and 8.d (Bay of Biscay)","syc"
"515",169285,"syc.27.8c9a","Lesser-spotted dogfish (Scyliorhinus canicula) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)","syc"
"516",169288,"syt-celt","Greater-spotted dogfish (Skyliorhinus stellaris) in subareas 6 and 7 (West of Scotland, southern Celtic Sea, and the English Channel)","syt"
"517",169288,"syt.27.67","Greater-spotted dogfish (Skyliorhinus stellaris) in subareas 6 and 7 (West of Scotland, southern Celtic Sea, and the English Channel)","syt"
"518",169289,"thr-nea","Thresher sharks (Alopias spp.) in Subareas 10, 12, Divisions 7.c-k, 8.d-e, and Subdivisions 5.b.1, 9.b.1, 14.b.1 (Northeast Atlantic)","thr"
"519",169289,"thr.27.nea","Thresher sharks (Alopias spp.) in Subareas 10, 12, Divisions 7.c-k, 8.d-e, and Subdivisions 5.b.1, 9.b.1, 14.b.1 (Northeast Atlantic)","thr"
"520",169290,"trk-nea","Smooth-hound (Mustelus spp.) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","trk"
"521",169291,"trs.27.22-32","Sea trout (Salmo trutta) in subdivisions 22–32 (Baltic Sea)","trs"
"522",169291,"trt-bal","Sea Trout in Subdivisions 22 - 32 (Baltic Sea)","trt"
"523",169292,"tsu-nea","Roughsnout grenadier (Trachyrincus scabrus) in subareas 1-2, 4-8, 10, 12, 14 and Division 3a (Northeast Atlantic and Arctic Ocean)","tsu"
"524",169292,"tsu.27.nea","Roughsnout grenadier (Trachyrincus scabrus) in subareas 1-2, 4-8, 10, 12, 14 and Division 3a (Northeast Atlantic and Arctic Ocean)","tsu"
"525",169293,"tur-2232","Turbot in Subdivisions 22 - 32 (Baltic Sea)","tur"
"526",169294,"tur-kask","Turbot (Scophthalmus maximus) in Division 3.a (Skagerrak and Kattegat)","tur"
"527",169295,"tur-nsea","Turbot in Subarea IV","tur"
"528",169293,"tur.27.22–32","Turbot (Scophthalmus maximus) in subdivisions 22–32 (Baltic Sea)","tur"
"529",169294,"tur.27.3a","Turbot (Scophthalmus maximus) in Division 3.a (Skagerrak and Kattegat)","tur"
"530",169295,"tur.27.4","Turbot (Scophthalmus maximus) in Subarea 4 (North Sea)","tur"
"531",169296,"usk-arct","Tusk in Subareas I and II (Arctic)","usk"
"532",169297,"usk-icel","Tusk in Division Va and XIV","usk"
"533",169298,"usk-mar","Tusk in Division XIIb (Mid Atlantic Ridge)","usk"
"534",169299,"usk-oth","Tusk in Divisions IIIa, Iva, Vb, VI, VII, VIII, IX and XIIa (other areas)","usk"
"535",169300,"usk-rock","Tusk in Division Vb (Rockall )","usk"
"536",169296,"usk.27.1-2","Tusk (Brosme brosme) in subareas 1 and 2 (Northeast Arctic)","usk"
"537",169298,"usk.27.12ac","Tusk (Brosme brosme) in Subarea 12, excluding Division 12.b (southern Mid-Atlantic Ridge)","usk"
"538",169299,"usk.27.3a45b6a7-912b","Tusk (Brosme brosme) in Subareas 4 and 7–9, and Divisions 3.a, 5.b, 6.a, and 12.b (Northeast Atlantic)","usk"
"539",169297,"usk.27.5a14","Tusk (Brosme brosme) in Subarea 14 and Division 5.a (East Greenland, and Iceland grounds)","usk"
"540",169300,"usk.27.6b","Tusk (Brosme brosme) in Division 6.b (Rockall)","usk"
"541",169301,"whb-comb","Blue whiting in Subareas I-IX, XII and XIV (Combined stock)","whb"
"542",169301,"whb.27.1-91214","Blue whiting (Micromesistius poutassou) in subareas 1–9, 12, and 14 (Northeast Atlantic and adjacent waters)","whb"
"543",169302,"whg-47d","Whiting Sub-area IV (North Sea) & Division VIId (Eastern Channel)","whg"
"544",169303,"whg-7e-k","Whiting in Divisions VIIe-k","whg"
"545",169304,"whg-89a","Whiting (Merlangius merlangus) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","whg"
"546",169305,"whg-iris","Whiting in Division VIIa (Irish Sea)","whg"
"547",169306,"whg-kask","Whiting in Division IIIa (Skagerrak - Kattegat)","whg"
"548",169307,"whg-rock","Whiting in Division VIb (Rockall)","whg"
"549",169308,"whg-scow","Whiting in Division VIa (West of Scotland)","whg"
"550",169306,"whg.27.3a","Whiting (Merlangius merlangus) in Division 3.a (Skagerrak and Kattegat)","whg"
"551",169302,"whg.27.47d","Whiting (Merlangius merlangus) in Subarea 4 and Division 7.d (North Sea and eastern English Channel)","whg"
"552",169308,"whg.27.6a","Whiting (Merlangius merlangus) in Division 6.a (West of Scotland)","whg"
"553",169307,"whg.27.6b","Whiting (Merlangius merlangus) in Division 6.b (Rockall)","whg"
"554",169305,"whg.27.7a","Whiting (Merlangius merlangus) in Division 7.a (Irish Sea)","whg"
"555",169303,"whg.27.7b-ce-k","Whiting (Merlangius merlangus) in divisions 7.b –c and 7.e–k (southern Celtic Seas and eastern English Channel)","whg"
"556",169304,"whg.27.89a","Whiting (Merlangius merlangus) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)","whg"
"557",169309,"wit-nsea","Witch (Glyptocephalus cynoglossus) in Subarea 4 and divisions 3.a and 7.d (North Sea, Skagerrak and Kattegat, eastern English Channel)","wit"
"558",169309,"wit.27.3a47d","Witch (Glyptocephalus cynoglossus) in Subarea 4 and divisions 3.a and 7.d (North Sea, Skagerrak and Kattegat, eastern English Channel)","wit"
